iter	Passed	Remaining
0	6	3193
1	13	3397
2	19	3308
3	26	3237
4	32	3174
5	36	2996
6	52	3684
7	60	3722
8	66	3628
9	69	3403
10	75	3345
11	80	3266
12	86	3237
13	89	3118
14	93	3029
15	99	3006
16	105	3000
17	113	3029
18	118	3011
19	124	2988
20	130	2979
21	135	2947
22	141	2943
23	144	2869
24	149	2838
25	155	2833
26	161	2822
27	167	2826
28	174	2834
29	180	2827
30	187	2834
31	193	2827
32	197	2800
33	202	2775
34	208	2768
35	214	2759
36	219	2749
37	221	2691
38	226	2675
39	231	2658
40	236	2648
41	239	2607
42	244	2597
43	249	2580
44	254	2577
45	259	2558
46	263	2540
47	269	2533
48	274	2524
49	279	2519
50	284	2504
51	289	2497
52	291	2460
53	296	2452
54	302	2445
55	307	2441
56	313	2434
57	319	2435
58	324	2425
59	329	2418
60	334	2407
61	340	2405
62	346	2400
63	353	2404
64	358	2400
65	362	2386
66	368	2378
67	373	2371
68	379	2373
69	385	2365
70	390	2357
71	396	2354
72	401	2347
73	407	2343
74	413	2340
75	418	2334
76	423	2327
77	429	2323
78	435	2318
79	440	2313
80	446	2307
81	450	2297
82	452	2274
83	457	2265
84	462	2258
85	467	2249
86	473	2248
87	479	2244
88	484	2239
89	489	2229
90	495	2225
91	500	2217
92	505	2210
93	510	2202
94	516	2200
95	521	2193
96	525	2185
97	530	2177
98	537	2177
99	543	2172
100	549	2172
101	555	2168
102	558	2152
103	564	2150
104	569	2143
105	575	2139
106	581	2136
107	584	2121
108	586	2104
109	591	2096
110	597	2093
111	603	2089
112	608	2084
113	614	2080
114	620	2078
115	625	2071
116	631	2067
117	633	2050
118	639	2045
119	643	2039
120	648	2031
121	654	2028
122	659	2022
123	665	2016
124	670	2012
125	675	2006
126	681	2001
127	687	1997
128	693	1993
129	699	1990
130	705	1986
131	710	1981
132	716	1976
133	722	1973
134	728	1968
135	733	1964
136	739	1959
137	744	1954
138	750	1950
139	756	1945
140	761	1939
141	763	1924
142	768	1919
143	774	1913
144	780	1910
145	786	1906
146	791	1901
147	797	1896
148	802	1890
149	807	1884
150	812	1877
151	817	1872
152	824	1869
153	829	1863
154	834	1858
155	840	1853
156	846	1849
157	848	1837
158	853	1831
159	860	1828
160	865	1822
161	871	1818
162	876	1811
163	882	1807
164	887	1802
165	893	1797
166	899	1794
167	904	1788
168	910	1783
169	916	1778
170	921	1772
171	926	1766
172	928	1755
173	933	1749
174	939	1745
175	945	1740
176	952	1737
177	958	1733
178	962	1726
179	968	1721
180	974	1716
181	980	1712
182	986	1708
183	991	1702
184	996	1696
185	1001	1690
186	1006	1685
187	1013	1681
188	1015	1670
189	1021	1666
190	1026	1660
191	1031	1655
192	1037	1649
193	1043	1645
194	1049	1641
195	1056	1637
196	1060	1630
197	1062	1620
198	1067	1614
199	1072	1608
200	1078	1604
201	1084	1599
202	1090	1594
203	1095	1589
204	1100	1584
205	1106	1579
206	1111	1573
207	1116	1567
208	1122	1563
209	1128	1557
210	1133	1552
211	1139	1547
212	1144	1542
213	1149	1536
214	1155	1532
215	1161	1526
216	1166	1521
217	1172	1517
218	1178	1512
219	1184	1507
220	1190	1503
221	1195	1497
222	1201	1492
223	1206	1486
224	1211	1481
225	1216	1475
226	1222	1469
227	1227	1464
228	1232	1458
229	1237	1452
230	1242	1446
231	1246	1440
232	1252	1434
233	1257	1429
234	1263	1425
235	1268	1419
236	1275	1415
237	1281	1410
238	1286	1405
239	1291	1399
240	1296	1393
241	1301	1387
242	1306	1382
243	1312	1376
244	1317	1371
245	1323	1366
246	1329	1361
247	1335	1356
248	1340	1351
249	1345	1345
250	1351	1341
251	1357	1336
252	1359	1327
253	1365	1322
254	1370	1317
255	1376	1311
256	1382	1307
257	1387	1301
258	1388	1292
259	1394	1287
260	1399	1281
261	1404	1275
262	1410	1271
263	1415	1265
264	1422	1261
265	1426	1254
266	1432	1249
267	1437	1244
268	1442	1239
269	1449	1234
270	1454	1229
271	1460	1224
272	1463	1216
273	1468	1210
274	1473	1205
275	1477	1199
276	1483	1194
277	1489	1189
278	1495	1184
279	1501	1179
280	1506	1173
281	1511	1168
282	1517	1163
283	1522	1158
284	1529	1153
285	1535	1149
286	1541	1143
287	1546	1138
288	1552	1133
289	1558	1128
290	1563	1122
291	1568	1117
292	1574	1112
293	1580	1107
294	1584	1101
295	1589	1095
296	1595	1090
297	1601	1085
298	1606	1080
299	1612	1074
300	1617	1069
301	1622	1064
302	1628	1058
303	1634	1054
304	1640	1049
305	1645	1043
306	1651	1038
307	1657	1033
308	1663	1028
309	1669	1023
310	1675	1018
311	1681	1012
312	1686	1007
313	1692	1002
314	1698	997
315	1706	993
316	1711	988
317	1717	983
318	1722	977
319	1728	972
320	1733	966
321	1739	961
322	1745	956
323	1751	951
324	1757	946
325	1763	941
326	1768	935
327	1773	930
328	1780	925
329	1785	920
330	1791	914
331	1797	909
332	1803	904
333	1808	899
334	1813	893
335	1819	887
336	1824	882
337	1830	877
338	1836	872
339	1842	867
340	1847	861
341	1850	854
342	1852	848
343	1858	842
344	1865	838
345	1871	832
346	1876	827
347	1881	821
348	1887	816
349	1893	811
350	1898	806
351	1905	801
352	1911	796
353	1917	790
354	1922	785
355	1928	779
356	1934	774
357	1939	769
358	1944	763
359	1950	758
360	1956	753
361	1961	747
362	1967	742
363	1973	737
364	1979	731
365	1984	726
366	1990	721
367	1996	716
368	2002	710
369	2007	705
370	2009	698
371	2015	693
372	2021	688
373	2026	682
374	2031	677
375	2036	671
376	2042	666
377	2048	661
378	2054	655
379	2059	650
380	2064	644
381	2070	639
382	2076	634
383	2082	629
384	2087	623
385	2093	618
386	2099	612
387	2105	607
388	2110	602
389	2112	595
390	2118	590
391	2125	585
392	2131	580
393	2137	575
394	2144	569
395	2149	564
396	2154	558
397	2160	553
398	2165	548
399	2171	542
400	2177	537
401	2182	532
402	2186	526
403	2191	520
404	2195	514
405	2197	508
406	2203	503
407	2206	497
408	2212	492
409	2217	486
410	2224	481
411	2230	476
412	2235	470
413	2237	464
414	2243	459
415	2248	454
416	2254	448
417	2260	443
418	2265	437
419	2270	432
420	2277	427
421	2283	422
422	2288	416
423	2294	411
424	2299	405
425	2304	400
426	2310	395
427	2316	389
428	2322	384
429	2327	378
430	2333	373
431	2340	368
432	2345	362
433	2350	357
434	2357	352
435	2362	346
436	2364	340
437	2370	335
438	2375	330
439	2381	324
440	2387	319
441	2393	314
442	2398	308
443	2400	302
444	2402	296
445	2408	291
446	2414	286
447	2420	280
448	2425	275
449	2431	270
450	2437	264
451	2443	259
452	2450	254
453	2457	248
454	2463	243
455	2468	238
456	2474	232
457	2482	227
458	2483	221
459	2486	216
460	2491	210
461	2497	205
462	2503	200
463	2508	194
464	2510	188
465	2515	183
466	2521	178
467	2523	172
468	2529	167
469	2534	161
470	2540	156
471	2546	151
472	2551	145
473	2557	140
474	2562	134
475	2568	129
476	2574	124
477	2579	118
478	2584	113
479	2589	107
480	2596	102
481	2602	97
482	2608	91
483	2614	86
484	2620	81
485	2626	75
486	2631	70
487	2637	64
488	2643	59
489	2649	54
490	2656	48
491	2661	43
492	2668	37
493	2673	32
494	2678	27
495	2684	21
496	2691	16
497	2696	10
498	2701	5
499	2707	0
